"Source:","/home/jg/work/brucon/0xd/pcb/gasmask_pcb.kicad_sch"
"Date:","Wed Sep 15 12:33:13 2021"
"Tool:","Eeschema (5.99.0-10282-g296a9df530)"
"Generator:","/usr/local/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","74"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C2","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C3","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C4","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C5","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C6","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C7","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C9","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C10","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C11","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C13","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C14","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","CONN_BATT1","Conn_01x02","Connector_Generic:Conn_01x02","brucon_badge:JST-PH-SM4-TB-2","~"
"","","D1","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D2","FM5817","Device:D_Schottky","brucon_badge:DO-214-FM5817","~"
"","","D3","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D4","LED_RGBA","Device:LED_RGBA","LED_SMD:LED_Cree-PLCC4_2x2mm_CW","~"
"","","J1","Hirose DF23C-10DS-0.5","Connector_Generic:Conn_02x05_Counter_Clockwise","brucon_badge:DF23C-10DS-0.5V","~"
"","","J2","Conn_02x02_Top_Bottom","Connector_Generic:Conn_02x02_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~"
"","","J3","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"","","J4","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex_47346-0001","~"
"","","J5","Conn_01x01_Female","Connector:Conn_01x01_Female","brucon_badge:touch_10mm","~"
"","","J6","Conn_01x01_Female","Connector:Conn_01x01_Female","brucon_badge:touch_10mm","~"
"","","J7","Conn_01x01_Female","Connector:Conn_01x01_Female","brucon_badge:touch_10mm","~"
"","","J8","Conn_01x01_Female","Connector:Conn_01x01_Female","brucon_badge:touch_10mm","~"
"","","J9","Conn_01x01_Female","Connector:Conn_01x01_Female","brucon_badge:touch_10mm","~"
"","","J10","Conn_01x01_Female","Connector:Conn_01x01_Female","brucon_badge:touch_10mm","~"
"","","M2","10uH","BruCON_0x0a-rescue:L-adafruit","Inductor_SMD:L_0805_2012Metric",""
"","","q1","NX7002aks_small","gasmask:NX7002aks_small","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"","","Q2","BT3904","Device:Q_NPN_BEC","Package_TO_SOT_SMD:SOT-23","~"
"","","Q3","BT3904","Device:Q_NPN_BEC","Package_TO_SOT_SMD:SOT-23","~"
"","","Q4","NX7002aks_small","gasmask:NX7002aks_small","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"","","R1","100k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R2","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R3","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R4","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R5","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R6","22.1k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R7","47.5k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R8","1.0k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R9","1.0k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R10","1.0k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R11","1 M","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R12","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R13","100k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R14","100k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R15","2k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R16","9.0k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R17","1.5k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R18","2k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R19","27k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R20","100k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R21","1.47k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R22","1.47k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R23","10k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R24","5k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R25","100","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R26","1k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R27","50","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R28","5k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R29","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R30","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R31","20k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","R32","50","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"","","SW1","SW_DPDT_x2","Switch:SW_DPDT_x2","brucon_badge:JS102000-SAQN","~"
"","","SW_PROG1","SW_SPST","Switch:SW_SPST","brucon_badge:FSM4JSMATR","~"
"","","SW_RESET1","SW_SPST","Switch:SW_SPST","brucon_badge:FSM4JSMATR","~"
"","","U1","ESP32-WROOM","ESP32-footprints-Shem-Lib:ESP32-WROOM","brucon_badge:ESP32-WROOM",""
"","","U2","CP2102N-A01-GQFN24","Interface_USB:CP2102N-A01-GQFN24","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","http://www.silabs.com/support%20documents/technicaldocs/cp2102n-datasheet.pdf"
"","","U3","NCP5661","BruCON_0x0a-rescue:NCP5661-Brucon","brucon_badge:DFN6-3.6x2.15mmP0.95",""
"","","U4","LM3658SD","LM3658SD:LM3658SD","IC_TPS61087DSCR",""
"","","U5","MIC2288YD5","BruCON_0x0a-rescue:MIC2288YD5-Brucon","Package_TO_SOT_SMD:SOT-23-5",""
"","","U6","MQ-6","Sensor_Gas:MQ-6","brucon_badge:MQ-3","https://www.winsen-sensor.com/d/files/semiconductor/mq-6.pdf"
"","","U8","MCP112-315","BruCON_0x0a-rescue:MCP112-315-Brucon","Package_TO_SOT_SMD:SOT-23",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","3","C1, C2, C3","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"2","4","C4, C6, C9, C10","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"3","2","C5, C7","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"4","3","C11, C13, C14","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"5","1","CONN_BATT1","Conn_01x02","Connector_Generic:Conn_01x02","brucon_badge:JST-PH-SM4-TB-2","~"
"6","2","D1, D3","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"7","1","D2","FM5817","Device:D_Schottky","brucon_badge:DO-214-FM5817","~"
"8","1","D4","LED_RGBA","Device:LED_RGBA","LED_SMD:LED_Cree-PLCC4_2x2mm_CW","~"
"9","1","J1","Hirose DF23C-10DS-0.5","Connector_Generic:Conn_02x05_Counter_Clockwise","brucon_badge:DF23C-10DS-0.5V","~"
"10","1","J2","Conn_02x02_Top_Bottom","Connector_Generic:Conn_02x02_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~"
"11","1","J3","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"12","1","J4","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex_47346-0001","~"
"13","6","J5, J6, J7, J8, J9, J10","Conn_01x01_Female","Connector:Conn_01x01_Female","brucon_badge:touch_10mm","~"
"14","1","M2","10uH","BruCON_0x0a-rescue:L-adafruit","Inductor_SMD:L_0805_2012Metric",""
"15","2","q1, Q4","NX7002aks_small","gasmask:NX7002aks_small","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"16","2","Q2, Q3","BT3904","Device:Q_NPN_BEC","Package_TO_SOT_SMD:SOT-23","~"
"17","1","R1","100k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"18","5","R2, R3, R12, R29, R30","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"19","2","R4, R5","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"20","1","R6","22.1k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"21","1","R7","47.5k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"22","3","R8, R9, R10","1.0k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"23","1","R11","1 M","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"24","3","R13, R14, R20","100k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"25","2","R15, R18","2k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"26","1","R16","9.0k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"27","1","R17","1.5k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"28","1","R19","27k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"29","2","R21, R22","1.47k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"30","1","R23","10k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"31","1","R24","5k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"32","1","R25","100","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"33","1","R26","1k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"34","2","R27, R32","50","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"35","1","R28","5k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"36","1","R31","20k 1%","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"37","1","SW1","SW_DPDT_x2","Switch:SW_DPDT_x2","brucon_badge:JS102000-SAQN","~"
"38","2","SW_PROG1, SW_RESET1","SW_SPST","Switch:SW_SPST","brucon_badge:FSM4JSMATR","~"
"39","1","U1","ESP32-WROOM","ESP32-footprints-Shem-Lib:ESP32-WROOM","brucon_badge:ESP32-WROOM",""
"40","1","U2","CP2102N-A01-GQFN24","Interface_USB:CP2102N-A01-GQFN24","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","http://www.silabs.com/support%20documents/technicaldocs/cp2102n-datasheet.pdf"
"41","1","U3","NCP5661","BruCON_0x0a-rescue:NCP5661-Brucon","brucon_badge:DFN6-3.6x2.15mmP0.95",""
"42","1","U4","LM3658SD","LM3658SD:LM3658SD","IC_TPS61087DSCR",""
"43","1","U5","MIC2288YD5","BruCON_0x0a-rescue:MIC2288YD5-Brucon","Package_TO_SOT_SMD:SOT-23-5",""
"44","1","U6","MQ-6","Sensor_Gas:MQ-6","brucon_badge:MQ-3","https://www.winsen-sensor.com/d/files/semiconductor/mq-6.pdf"
"45","1","U8","MCP112-315","BruCON_0x0a-rescue:MCP112-315-Brucon","Package_TO_SOT_SMD:SOT-23",""
